id,key,value,type
5172996,oneway,yes,regular
5173089,highway,residential,regular
5173089,name,Rue Ami-Lullin,regular
5173089,oneway,yes,regular
5173092,cycleway,opposite_lane,regular
5173092,highway,residential,regular
5173092,name,Rue De-Beaumont,regular
5173092,oneway,yes,regular
5173095,highway,residential,regular
5173095,name,Chemin Malombré,regular
5173095,oneway,yes,regular
5173096,highway,residential,regular
5173096,name,Rue Monnier,regular
5173098,highway,primary,regular
5173098,lanes,3,regular
5173098,lit,yes,regular
5173098,name,Rue de la Scie,regular
5173099,highway,tertiary,regular
5173099,lanes,3,regular
5173099,lit,yes,regular
5173099,name,Rue Pierre-Fatio,regular
5173099,oneway,yes,regular
5173100,cycleway,opposite_lane,regular
5173100,highway,residential,regular
5173100,name,Rue d'Aoste,regular
5173100,oneway,yes,regular
5173101,highway,unclassified,regular
5173101,name,Rue d'Italie,regular
5173101,oneway,yes,regular
5173101,trolley_wire,yes,regular
5173102,highway,unclassified,regular
5173102,name,Rue d'Italie,regular
5173102,oneway,yes,regular
5173103,highway,residential,regular
5173103,name,Rue de la Tour-Maîtresse,regular
5173104,highway,residential,regular
5173104,name,Rue Robert-Estienne,regular
5173104,official_name,Rue Robert-ESTIENNE,regular
5173104,oneway,yes,regular
5173105,highway,residential,regular
5173105,name,Rue du Prince,regular
5173106,highway,residential,regular
5173106,name,Rue du Port,regular
5173107,highway,pedestrian,regular
5173107,name,Rue d'Enfer,regular
5173108,highway,pedestrian,regular
5173108,name,Rue de la Madeleine,regular
5173274,highway,pedestrian,regular
5173274,name,Rue de la Tour-de-Boël,regular
5173276,bicycle,yes,regular
5173276,highway,pedestrian,regular
5173276,name,Place des Trois-Perdrix,regular
5173276,segregated,no,regular
5173278,highway,residential,regular
5173278,name,Rue du Commerce,regular
5173403,electrified,contact_line,regular
5173403,frequency,0,regular
5173403,gauge,1000,regular
5173403,railway,tram,regular
5173403,voltage,600,regular
5173404,highway,residential,regular
5173404,name,Rue des Corps-Saints,regular
5173404,oneway,yes,regular
5173405,cycleway,opposite_lane,regular
5173405,highway,living_street,regular
5173405,maxspeed,20,regular
5173405,name,Rue Necker,regular
5173405,oneway,yes,regular
5173409,cycleway,opposite,regular
5173409,highway,residential,regular
5173409,name,Rue Kléberg,regular
5173409,oneway,yes,regular
5173410,cycleway,opposite_lane,regular
5173410,highway,residential,regular
5173410,name,Rue Arnold-Winkelried,regular
5173410,oneway,yes,regular
5173412,highway,residential,regular
5173412,name,Rue Paul-Bouchet,regular
5173412,oneway,no,regular
5173413,cycleway,lane,regular
5173413,highway,tertiary,regular
5173413,name,Rue François-Bonivard,regular
5173413,oneway,yes,regular
5173414,cycleway,lane,regular
5173414,highway,tertiary,regular
5173414,name,Rue Ami-Lévrier,regular
5173414,oneway,yes,regular
5173415,highway,pedestrian,regular
5173415,name,Rue Chaponnière,regular
5173490,highway,secondary,regular
5173490,lanes,3,regular
5173490,backward,2,lanes
5173490,maxspeed,50,regular
5173490,name,Route du Vallon,regular
5173491,highway,primary,regular
5173491,int_ref,E 712,regular
5173491,lanes,4,regular
5173491,name,Route de Malagnou,regular
5173491,ref,111,regular
5190749,highway,residential,regular
5190749,maxspeed,30,regular
5190749,name,Rue de Montchoisy,regular
5190750,highway,tertiary,regular
5190750,lit,yes,regular
5190750,maxspeed,50,regular
5190750,name,Avenue William-Favre,regular
5190751,cycleway,opposite,regular
5190751,highway,residential,regular
5190751,maxspeed,30,regular
5190751,name,Rue Merle-d'Aubigné,regular
5190751,oneway,yes,regular
5190752,highway,residential,regular
5190752,maxspeed,30,regular
5190752,name,Rue du Premier-Juin,regular
5190752,oneway,yes,regular
5190753,cycleway,opposite,regular
5190753,highway,residential,regular
5190753,maxspeed,30,regular
5190753,name,Rue du Clos,regular
5190753,oneway,yes,regular
5190754,highway,residential,regular
5190754,maxspeed,30,regular
5190754,name,Avenue de la Grenade,regular
5190754,oneway,yes,regular
5190755,highway,residential,regular
5190755,maxspeed,30,regular
5190755,name,Rue de l'Avenir,regular
5190755,oneway,yes,regular
5190757,highway,residential,regular
5190757,maxspeed,30,regular
